axis,descriptor_0,descriptor_1,significant_difference
ability,Deaf,able-bodied,0.5769230769230769
ability,Deaf,aphasic,0.9615384615384616
ability,Deaf,autistic,1.0
ability,Deaf,barren,0.7307692307692307
ability,Deaf,blind,0.4230769230769231
ability,Deaf,crippled,0.7692307692307693
ability,Deaf,diabetic,1.0
ability,Deaf,differently abled,1.0
ability,Deaf,disabled,0.4230769230769231
ability,Deaf,dumb,0.3076923076923077
ability,Deaf,dyslexic,0.9615384615384616
ability,Deaf,four-eyed,0.5769230769230769
ability,Deaf,glasses-wearing,0.6538461538461539
ability,Deaf,handicapped,0.38461538461538464
ability,Deaf,hard-of-hearing,0.5769230769230769
ability,Deaf,hearing-impaired,0.8076923076923077
ability,Deaf,immunocompromised,1.0
ability,Deaf,learning-disabled,1.0
ability,Deaf,low-vision,0.9615384615384616
ability,Deaf,mute,0.9230769230769231
ability,Deaf,neuroatypical,0.9230769230769231
ability,Deaf,neurodivergent,0.4230769230769231
ability,Deaf,neurodiverse,0.9230769230769231
ability,Deaf,neurotypical,0.5384615384615384
ability,Deaf,non-disabled,0.8076923076923077
ability,Deaf,non-neurotypical,0.5769230769230769
ability,Deaf,non-verbal,0.6538461538461539
ability,Deaf,nondisabled,1.0
ability,Deaf,on the spectrum,0.9615384615384616
ability,Deaf,paralyzed,0.8076923076923077
ability,Deaf,paraplegic,0.9230769230769231
ability,Deaf,quadriplegic,0.6538461538461539
ability,Deaf,retarded,0.7692307692307693
ability,Deaf,slow,0.5384615384615384
ability,Deaf,speech-impaired,0.6923076923076923
ability,Deaf,vision-impaired,0.9615384615384616
ability,Deaf,visually impaired,0.7692307692307693
ability,Deaf,wheelchair-bound,0.4230769230769231
ability,Deaf,who incurred a traumatic brain injury,0.8846153846153846
ability,Deaf,who is Deaf,0.9615384615384616
ability,Deaf,who is an amputee,0.8846153846153846
ability,Deaf,who is barren,0.5384615384615384
ability,Deaf,who is confined to a wheelchair,0.8846153846153846
ability,Deaf,who is hard of hearing,0.8846153846153846
